filename,FoulResCS,FoulResHS,RunStatus,HeatTranRatClean,HeatTranRatDirty,HeatTranRatService,AreaRatioClean,AreaRatioDirty,HtLdTotal,DutyRatio,PresDropCalcSS,PresDropCalcTS,PresDropAlloSS,PresDropAlloTS,DPratioSS,DPratioTS,TempInSS,TempOutSS,TempInTS,TempOutTS,FlRaTotalSS,FlRaTotalTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,RV2ShlEnt,FoulMaxSS,FoulMaxTS,FoulResSS,FoulResTS,LMTD,MTDCorrFactor,ExcessSurfClean,ExcessSurfDirty,TubeNum,TubeOD,TubeID,TubeLng,ShlID,BafNum,BafSpcCC,BafCutPerc,TubePassNum,TubePattern,OverallLength,Area,FilmCoefSS,FilmCoefTS,PresOperInSS,PresOperInTS
8497_var_CS0.000098_HS0.000049.EDR,0.000098,0.000049,OK,290.9772,276.3882,224.1758,1.297987,1.232908,4.5,1,0.000611602,0.03681739,0.2,0.5,0.00305801,0.07363478,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0002766218,0.0007474673,4.9E-05,0.0001324043,35.23991,0.984696,29.79866,23.29081,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,479.974,759.6185,4,25.1
8497_var_CS0.000098_HS0.000098.EDR,0.000098,0.000098,OK,291.0982,272.8013,224.1689,1.298566,1.216945,4.5,1,0.0006115372,0.03681728,0.2,0.5,0.003057686,0.07363456,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0004362515,0.0005894036,9.8E-05,0.0001324043,35.23991,0.9847264,29.85663,21.69455,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.2197,759.8275,4,25.1
8497_var_CS0.000098_HS0.000147.EDR,0.000098,0.000147,OK,291.2168,269.3043,224.154,1.299182,1.201425,4.5,1,0.0006114742,0.03681718,0.2,0.5,0.003057371,0.07363435,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.000540509,0.0004868415,0.000147,0.0001324043,35.23991,0.9847918,29.91817,20.14251,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.4612,760.0313,4,25.1
8497_var_CS0.000098_HS0.000196.EDR,0.000098,0.000196,OK,291.333,265.8936,224.1493,1.299727,1.186234,4.5,1,0.0006114125,0.03681707,0.2,0.5,0.003057063,0.07363414,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0006140224,0.0004147917,0.000196,0.0001324043,35.23991,0.9848126,29.97274,18.62345,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.698,760.23,4,25.1
8497_var_CS0.000098_HS0.000244.EDR,0.000098,0.000244,OK,291.4391,262.629,224.1449,1.300227,1.171693,4.5,1,0.0006113549,0.03681698,0.2,0.5,0.003056774,0.07363395,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0006677853,0.0003623673,0.000244,0.0001324043,35.23991,0.984832,30.02268,17.16933,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.9111,760.42,4,25.1
8497_var_CS0.000098_HS0.000293.EDR,0.000098,0.000293,OK,291.5423,259.3739,224.1406,1.300712,1.157193,4.5,1,0.0006112984,0.03681688,0.2,0.5,0.003056492,0.07363376,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0007104192,0.0003210325,0.000293,0.0001324043,35.23991,0.9848508,30.07118,15.71929,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.1162,760.6096,4,25.1
8497_var_CS0.000098_HS0.000342.EDR,0.000098,0.000342,OK,291.6402,256.1943,224.1365,1.301172,1.143028,4.5,1,0.000611244,0.03681679,0.2,0.5,0.00305622,0.07363358,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0007444662,0.0002882178,0.000342,0.0001324043,35.23991,0.9848686,30.11722,14.30281,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.3087,760.7947,4,25.1
8497_var_CS0.000098_HS0.000391.EDR,0.000098,0.000391,OK,291.7201,253.0782,224.1305,1.301563,1.129155,4.5,1,0.0006111945,0.03681671,0.2,0.5,0.003055972,0.07363341,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0007722391,0.0002615032,0.000391,0.0001324043,35.23991,0.9848949,30.15634,12.91554,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.4547,760.9739,4,25.1
8497_var_CS0.000098_HS0.000440.EDR,0.000098,0.000440,OK,291.818,250.0502,224.1274,1.302018,1.115661,4.5,1,0.0006111458,0.03681662,0.2,0.5,0.003055729,0.07363325,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0007955566,0.0002393979,0.00044,0.0001324043,35.23991,0.9849086,30.20184,11.56608,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.6509,761.1498,4,25.1
8497_var_CS0.000196_HS0.000000.EDR,0.000196,0.000000,OK,291.1817,270.3368,224.1643,1.298966,1.205976,4.5,1,0.0006114928,0.03681721,0.2,0.5,0.003057464,0.07363442,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0,0.001026733,0,0.0002648085,35.23991,0.9847467,29.89658,20.59761,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.3897,759.9711,4,25.1
