filename,FoulResCS,FoulResHS,RunStatus,HtLdTotal,DutyRatio,TempOutSS,TempOutTS,TempInSS,TempInTS,HeatTranRatDirty,HeatTranRatClean,AreaRatioDirty,AreaRatioClean,PresDropCalcSS,PresDropCalcTS,DPratioSS,DPratioTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,LMTD,MTDCorrFactor,ExcessSurfDirty,FoulResSS,FoulResTS
8497_var_CS0.000782_HS0.000391.EDR,0.000782,0.000391,OK,4.5,1,34.9978,12.7386,55,5,205.6481,292.8135,0.9176399,1.306588,0.0006111792,0.03681256,0.003055896,0.07362511,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850051,-8.236011,0.000391,0.001056532
8497_var_CS0.000782_HS0.000440.EDR,0.000782,0.000440,OK,4.5,1,34.9978,12.7386,55,5,203.6089,292.8391,0.9085438,1.306707,0.0006111856,0.03681247,0.003055928,0.07362494,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850085,-9.145617,0.00044,0.001056532
8497_var_CS0.000880_HS0.000000.EDR,0.000880,0.000000,OK,4.5,1,34.9978,12.7386,55,5,217.0997,292.6337,0.9687204,1.30576,0.0006111535,0.03681304,0.003055767,0.07362609,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849861,-3.127957,0,0.001188936
8497_var_CS0.000880_HS0.000049.EDR,0.000880,0.000049,OK,4.5,1,34.9978,12.7386,55,5,214.8361,292.6737,0.9586244,1.305945,0.000611156,0.03681295,0.00305578,0.07362589,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849905,-4.137563,4.9E-05,0.001188936
8497_var_CS0.000880_HS0.000098.EDR,0.000880,0.000098,OK,4.5,1,34.9978,12.7386,55,5,212.6151,292.7059,0.9487174,1.306093,0.0006111616,0.03681285,0.003055808,0.07362571,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849942,-5.128262,9.8E-05,0.001188936
8497_var_CS0.000880_HS0.000147.EDR,0.000880,0.000147,OK,4.5,1,34.9978,12.7386,55,5,210.4397,292.7385,0.9390138,1.306243,0.0006111672,0.03681276,0.003055836,0.07362552,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849976,-6.098623,0.000147,0.001188936
8497_var_CS0.000880_HS0.000196.EDR,0.000880,0.000196,OK,4.5,1,34.9978,12.7386,55,5,208.3085,292.7713,0.9295072,1.306394,0.0006111726,0.03681267,0.003055863,0.07362534,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850009,-7.049281,0.000196,0.001188936
8497_var_CS0.000880_HS0.000244.EDR,0.000880,0.000244,OK,4.5,1,34.9978,12.7386,55,5,206.2624,292.8036,0.9203799,1.306543,0.0006111778,0.03681258,0.003055889,0.07362516,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850041,-7.962013,0.000244,0.001188936
8497_var_CS0.000880_HS0.000293.EDR,0.000880,0.000293,OK,4.5,1,34.9978,12.7386,55,5,204.2128,292.8329,0.9112376,1.306678,0.000611183,0.0368125,0.003055915,0.07362499,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850077,-8.876243,0.000293,0.001188936
8497_var_CS0.000880_HS0.000342.EDR,0.000880,0.000342,OK,4.5,1,34.9978,12.7386,55,5,202.1997,292.8541,0.9022572,1.306776,0.0006111916,0.03681241,0.003055958,0.07362482,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850104,-9.774277,0.000342,0.001188936
8497_var_CS0.000880_HS0.000391.EDR,0.000880,0.000391,OK,4.5,1,34.9978,12.7386,55,5,200.2261,292.8757,0.8934531,1.306876,0.0006112,0.03681233,0.003056,0.07362465,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850131,-10.65469,0.000391,0.001188936
8497_var_CS0.000880_HS0.000440.EDR,0.000880,0.000440,OK,4.5,1,34.9978,12.7386,55,5,198.2909,292.8979,0.8848201,1.306978,0.0006112082,0.03681224,0.003056041,0.07362448,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9850156,-11.51799,0.00044,0.001188936
