filename,FoulResCS,FoulResHS,RunStatus,HtLdTotal,DutyRatio,TempOutSS,TempOutTS,TempInSS,TempInTS,HeatTranRatDirty,HeatTranRatClean,AreaRatioDirty,AreaRatioClean,PresDropCalcSS,PresDropCalcTS,DPratioSS,DPratioTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,LMTD,MTDCorrFactor,ExcessSurfDirty,FoulResSS,FoulResTS
8497_var_CS0.000196_HS0.000000.EDR,0.000196,0.000000,OK,4.5,1,34.9978,12.7386,55,5,270.3368,291.1817,1.205976,1.298966,0.0006114928,0.03681721,0.003057464,0.07363442,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9847467,20.59761,0,0.0002648085
8497_var_CS0.000196_HS0.000049.EDR,0.000196,0.000049,OK,4.5,1,34.9978,12.7386,55,5,266.9007,291.2986,1.19072,1.299566,0.0006114308,0.0368171,0.003057154,0.07363421,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848065,19.07201,4.9E-05,0.0002648085
8497_var_CS0.000196_HS0.000098.EDR,0.000196,0.000098,OK,4.5,1,34.9978,12.7386,55,5,263.5465,291.4102,1.17578,1.300091,0.0006113708,0.036817,0.003056854,0.07363401,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848266,17.57799,9.8E-05,0.0002648085
8497_var_CS0.000196_HS0.000147.EDR,0.000196,0.000147,OK,4.5,1,34.9978,12.7386,55,5,260.2691,291.5139,1.161181,1.300578,0.0006113139,0.03681691,0.003056569,0.07363381,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848456,16.11809,0.000147,0.0002648085
8497_var_CS0.000196_HS0.000196.EDR,0.000196,0.000196,OK,4.5,1,34.9978,12.7386,55,5,257.0708,291.6157,1.146933,1.301056,0.0006112583,0.03681681,0.003056292,0.07363363,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848638,14.69327,0.000196,0.0002648085
8497_var_CS0.000196_HS0.000244.EDR,0.000196,0.000244,OK,4.5,1,34.9978,12.7386,55,5,253.9955,291.6924,1.133244,1.301435,0.0006112091,0.03681673,0.003056045,0.07363346,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848912,13.32439,0.000244,0.0002648085
8497_var_CS0.000196_HS0.000293.EDR,0.000196,0.000293,OK,4.5,1,34.9978,12.7386,55,5,250.9442,291.7884,1.119645,1.301881,0.0006111602,0.03681665,0.003055801,0.0736333,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849045,11.9645,0.000293,0.0002648085
8497_var_CS0.000196_HS0.000342.EDR,0.000196,0.000342,OK,4.5,1,34.9978,12.7386,55,5,247.9658,291.8851,1.106372,1.302331,0.0006111133,0.03681657,0.003055567,0.07363314,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9849188,10.63724,0.000342,0.0002648085
8497_var_CS0.000196_HS0.000391.EDR,0.000196,0.000391,OK,4.5,1,34.9978,12.7386,55,5,245.0181,291.9262,1.093292,1.302601,0.0006109679,0.03739354,0.00305484,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9849837,9.329223,0.000391,0.0002648085
8497_var_CS0.000196_HS0.000440.EDR,0.000196,0.000440,OK,4.5,1,34.9978,12.7386,55,5,242.1566,291.992,1.080572,1.302952,0.0006108974,0.03739354,0.003054487,0.07478708,11.16475,0.02023189,0.2357146,43.3877,35.23991,0.9850271,8.057158,0.00044,0.0002648085
